Flight No.,,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,,Version Booster,Booster landing,Date,Time
121,,F9 v1.0B0003.1,Dragon Spacecraft Qualification Unit,0,LEO,"<a href=""/wiki/Sirius_XM"" title=""Sirius XM"">Sirius XM</a>","Success
",,F9 v1.0B0003.1,"Success
",4 June 2010,18:45
121,,F9 v1.0B0004.1,Dragon,0,LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,,F9 v1.0B0004.1,Success,8 December 2010,15:43
121,,F9 v1.0B0005.1,Dragon,525 kg,LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,F9 v1.0B0005.1,Success,22 May 2012,07:44
121,,F9 v1.0B0006.1,SpaceX CRS-1,"4,700 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,F9 v1.0B0006.1,"Success
",8 October 2012,00:35
121,,F9 v1.0B0007.1,SpaceX CRS-2,"4,877 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,F9 v1.0B0007.1,"Success
",1 March 2013,15:10
121,,F9 v1.1B1003,CASSIOPE,500 kg,Polar orbit,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,F9 v1.1B1003,Success,29 September 2013,16:00
121,,F9 v1.1,SES-8,"3,170 kg",GTO,"<a href=""/wiki/Maxar_Technologies"" title=""Maxar Technologies"">MDA</a>",Success,,F9 v1.1,Success,3 December 2013,22:41
121,,F9 v1.1,Thaicom 6,"3,325 kg",GTO,"<a href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>",Success,,F9 v1.1,Success,6 January 2014,22:06
121,,F9 v1.1,SpaceX CRS-3,"2,296 kg",LEO,"<a href=""/wiki/Thaicom"" title=""Thaicom"">Thaicom</a>","Success
",,F9 v1.1,"Success
",18 April 2014,19:25
121,,F9 v1.1,Orbcomm-OG2,"1,316 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,F9 v1.1,Success,14 July 2014,15:15
121,,F9 v1.1,AsiaSat 8,"4,535 kg",GTO,"<a href=""/wiki/Orbcomm"" title=""Orbcomm"">Orbcomm</a>",Success,,F9 v1.1,Success,5 August 2014,08:00
121,,F9 v1.1,AsiaSat 6,"4,428 kg",GTO,"<a href=""/wiki/AsiaSat"" title=""AsiaSat"">AsiaSat</a>",Success,,F9 v1.1,Success,7 September 2014,05:00
121,,F9 v1.1,SpaceX CRS-4,"2,216 kg",LEO,"<a href=""/wiki/AsiaSat"" title=""AsiaSat"">AsiaSat</a>",Success,,F9 v1.1,Success,21 September 2014,05:52
121,,F9 v1.1,SpaceX CRS-5,"2,395 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,F9 v1.1,Success,10 January 2015,09:47
121,,F9 v1.1,DSCOVR,570 kg,HEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,F9 v1.1,"Success
",11 February 2015,23:03
121,,F9 v1.1,ABS-3A,"4,159 kg",GTO,"<a href=""/wiki/United_States_Air_Force"" title=""United States Air Force"">USAF</a>","Success
",,F9 v1.1,"Success
",2 March 2015,03:50
121,,F9 v1.1,SpaceX CRS-6,"1,898 kg",LEO,"<a class=""mw-redirect"" href=""/wiki/Asia_Broadcast_Satellite"" title=""Asia Broadcast Satellite"">ABS</a>","Success
",,F9 v1.1,"Success
",14 April 2015,20:10
121,,F9 v1.1,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,F9 v1.1,"Success
",27 April 2015,23:03
121,,F9 v1.1,SpaceX CRS-7,"1,952 kg",LEO,"<a href=""/wiki/Turkmenistan_National_Space_Agency"" title=""Turkmenistan National Space Agency"">Turkmenistan National<br/>Space Agency</a>",Failure,,F9 v1.1,Failure,28 June 2015,14:21
